,endTime,artistName,trackName,msPlayed,uniqueID,inLibrary,album,track_uri
8578,2021-01-08 15:48,NCT U,From Home,260320,NCT U:From Home,0,,
8579,2021-01-08 15:51,GOT7,Breath,187251,GOT7:Breath,0,,
8580,2021-01-08 15:54,Stray Kids,MIROH,207617,Stray Kids:MIROH,0,,
8581,2021-01-08 15:57,Monsta X,MIDDLE OF THE NIGHT,166213,Monsta X:MIDDLE OF THE NIGHT,0,,
8582,2021-01-08 15:57,BIGBANG,FXXK IT,5528,BIGBANG:FXXK IT,0,,
8583,2021-01-08 16:52,SOMI,Outta My Head,53000,SOMI:Outta My Head,0,,
8584,2021-01-09 08:05,The Rose,Candy (so good),4291,The Rose:Candy (so good),0,,
8585,2021-01-09 08:05,The Rose,sorry,4522,The Rose:sorry,0,,
8586,2021-01-09 08:05,The Rose,sorry,215475,The Rose:sorry,0,,
8587,2021-01-09 12:16,SUNMI,Gashina,1320,SUNMI:Gashina,0,,
8588,2021-01-09 12:58,SOMI,Outta My Head,188161,SOMI:Outta My Head,0,,
8589,2021-01-09 12:59,Park Boram,To My Unloving Self,1250,Park Boram:To My Unloving Self,0,,
8590,2021-01-09 12:59,SECRET NUMBER,Got That Boom,22118,SECRET NUMBER:Got That Boom,0,,
8591,2021-01-09 12:59,ALEPH,No One Told Me Why,1460,ALEPH:No One Told Me Why,0,,
8592,2021-01-09 12:59,Sam Kim,"YOUR SONG (With Lee Jin Ah, Jung Seung Hwan, Kwon Jin Ah)",4580,"Sam Kim:YOUR SONG (With Lee Jin Ah, Jung Seung Hwan, Kwon Jin Ah)",0,,
8593,2021-01-09 12:59,1415,When It Snows,1040,1415:When It Snows,0,,
